Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,10,1,2,24,4,2.48,1,3,Joint,HighEffort,1,well_orca
11,3,2,1,24,4,2.52,1,3,Joint,HighEffort,1,coy_kite
11,12,2,2,24,4,1.97,1,3,Joint,HighEffort,1,regal_asp
11,5,3,1,24,6,12.56,1,3,Joint,HighEffort,1,taut_geese
11,2,3,2,24,6,2.23,1,3,Joint,HighEffort,1,nerdy_joey
11,7,4,1,24,6,2,1,3,Joint,HighEffort,1,happy_lark
11,4,4,2,24,6,3.37,1,3,Joint,HighEffort,1,scary_pony
11,9,5,1,24,3,2.14,1,3,Joint,HighEffort,0,wavy_coypu
11,6,5,2,24,2,4.67,1,3,Joint,HighEffort,0,oozy_skink
11,11,6,1,24,6,3.52,1,3,Joint,HighEffort,0,cute_yapok
11,8,6,2,24,5,1.74,1,3,Joint,HighEffort,0,loopy_cub
11,1,1,1,25,5,2.85,1,3,Joint,HighEffort,0,fishy_clam
11,10,1,2,25,4,6.38,1,3,Joint,HighEffort,0,well_orca
11,3,2,1,25,3,3.63,1,3,Joint,HighEffort,1,coy_kite
11,12,2,2,25,3,2.47,1,3,Joint,HighEffort,1,regal_asp
11,5,3,1,25,6,4.88,1,3,Joint,HighEffort,1,taut_geese
11,2,3,2,25,6,1.77,1,3,Joint,HighEffort,1,nerdy_joey
11,7,4,1,25,5,3.66,1,3,Joint,HighEffort,1,happy_lark
11,4,4,2,25,5,8.97,1,3,Joint,HighEffort,1,scary_pony
11,9,5,1,25,5,3.5,1,3,Joint,HighEffort,0,wavy_coypu
11,6,5,2,25,4,3.66,1,3,Joint,HighEffort,0,oozy_skink
11,11,6,1,25,6,3.06,1,3,Joint,HighEffort,1,cute_yapok
11,8,6,2,25,6,2.44,1,3,Joint,HighEffort,1,loopy_cub
11,1,1,1,26,4,4.3,1,3,Joint,HighEffort,0,fishy_clam
11,10,1,2,26,2,7.23,1,3,Joint,HighEffort,0,well_orca
11,3,2,1,26,5,4.63,1,3,Joint,HighEffort,1,coy_kite
11,12,2,2,26,5,1.67,1,3,Joint,HighEffort,1,regal_asp
11,5,3,1,26,6,3.4,1,3,Joint,HighEffort,0,taut_geese
11,2,3,2,26,5,2.02,1,3,Joint,HighEffort,0,nerdy_joey
11,7,4,1,26,4,2.33,1,3,Joint,HighEffort,0,happy_lark
11,4,4,2,26,2,6.17,1,3,Joint,HighEffort,0,scary_pony
11,9,5,1,26,3,1.58,1,3,Joint,HighEffort,0,wavy_coypu
11,6,5,2,26,6,5.57,1,3,Joint,HighEffort,0,oozy_skink
11,11,6,1,26,6,4,1,3,Joint,HighEffort,0,cute_yapok
11,8,6,2,26,3,2.06,1,3,Joint,HighEffort,0,loopy_cub
