date,group,subject,team,label,response,comment
2018_6_17_20_51_23,3,2,1,roll116,6,actual_number: 8; reaction_time: 1.95
2018_6_17_20_51_27,3,2,1,roll117,6,actual_number: 8; reaction_time: 2.03
2018_6_17_20_51_31,3,2,1,roll118,6,actual_number: 8; reaction_time: 1.56
2018_6_17_20_52_15,3,3,2,roll101,1,actual_number: 8; reaction_time: 3.18
2018_6_17_20_52_19,3,3,2,roll102,1,actual_number: 8; reaction_time: 1.85
2018_6_17_20_52_23,3,3,2,roll103,1,actual_number: 8; reaction_time: 1.63
2018_6_17_20_52_30,3,3,2,roll104,2,actual_number: 8; reaction_time: 2.06
2018_6_17_20_52_34,3,3,2,roll105,2,actual_number: 8; reaction_time: 2.55
2018_6_17_20_52_38,3,3,2,roll106,2,actual_number: 8; reaction_time: 1.42
2018_6_17_20_52_44,3,3,2,roll107,3,actual_number: 8; reaction_time: 1.79
2018_6_17_20_52_48,3,3,2,roll108,3,actual_number: 8; reaction_time: 1.6
2018_6_17_20_52_52,3,3,2,roll109,3,actual_number: 8; reaction_time: 1.89
2018_6_17_20_52_58,3,3,2,roll110,3,actual_number: 8; reaction_time: 2.78
2018_6_17_20_53_2,3,3,2,roll111,3,actual_number: 8; reaction_time: 1.57
2018_6_17_20_53_6,3,3,2,roll112,3,actual_number: 8; reaction_time: 1.73
2018_6_17_20_53_12,3,3,2,roll113,5,actual_number: 8; reaction_time: 1.65
2018_6_17_20_53_16,3,3,2,roll114,5,actual_number: 8; reaction_time: 1.54
2018_6_17_20_53_20,3,3,2,roll115,5,actual_number: 8; reaction_time: 2.21
2018_6_17_20_53_28,3,3,2,roll116,6,actual_number: 8; reaction_time: 2.88
2018_6_17_20_53_32,3,3,2,roll117,6,actual_number: 8; reaction_time: 1.8
2018_6_17_20_53_36,3,3,2,roll118,6,actual_number: 8; reaction_time: 2.2
2018_6_17_20_54_18,3,4,2,roll101,1,actual_number: 8; reaction_time: 3.51
2018_6_17_20_54_22,3,4,2,roll102,1,actual_number: 8; reaction_time: 1.69
2018_6_17_20_54_26,3,4,2,roll103,1,actual_number: 8; reaction_time: 1.68
2018_6_17_20_54_31,3,4,2,roll104,2,actual_number: 8; reaction_time: 1.7
