Date,Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT
2019_3_4_11_49_49,11,11,6,1,33,2,4.4
2019_3_4_11_49_50,11,8,1,2,33,4,2.94
2019_3_4_11_49_51,11,7,4,1,33,5,1.7
2019_3_4_11_49_53,11,3,2,1,33,6,3.67
2019_3_4_11_49_59,11,6,6,2,33,2,3.75
2019_3_4_11_50_1,11,9,5,1,33,1,1.12
2019_3_4_11_50_2,11,2,4,2,33,5,1.41
2019_3_4_11_50_2,11,5,3,1,33,1,4.1
2019_3_4_11_50_7,11,10,2,2,33,6,6.65
2019_3_4_11_50_13,11,12,3,2,33,1,1.82
2019_3_4_11_50_17,11,4,5,2,33,6,8.81
2019_3_4_11_50_41,11,11,6,1,34,3,3.71
2019_3_4_11_50_44,11,7,4,1,34,5,4.19
2019_3_4_11_50_46,11,1,1,1,34,4,6.08
2019_3_4_11_50_54,11,3,2,1,34,6,6.15
2019_3_4_11_50_54,11,2,4,2,34,5,1.59
2019_3_4_11_50_55,11,6,6,2,34,2,4.07
2019_3_4_11_50_56,11,8,1,2,34,3,2.6
2019_3_4_11_50_58,11,5,3,1,34,1,5.19
2019_3_4_11_51_1,11,9,5,1,34,1,4.71
2019_3_4_11_51_3,11,10,2,2,34,5,2.73
2019_3_4_11_51_8,11,7,4,1,35,5,1.36
2019_3_4_11_51_13,11,12,3,2,34,1,6.69
2019_3_4_11_51_14,11,11,6,1,35,3,2.28
2019_3_4_11_51_15,11,1,1,1,35,3,3
2019_3_4_11_51_16,11,4,5,2,34,1,5.31
2019_3_4_11_51_23,11,8,1,2,35,3,2.48
2019_3_4_11_51_25,11,2,4,2,35,6,7.98
2019_3_4_11_51_28,11,6,6,2,35,3,5.06
2019_3_4_11_51_28,11,3,2,1,35,4,4.69
2019_3_4_11_51_29,11,5,3,1,35,1,3.59
2019_3_4_11_51_30,11,9,5,1,35,6,1.4
2019_3_4_11_51_38,11,7,4,1,36,5,1.64
2019_3_4_11_51_40,11,10,2,2,35,4,5.23
2019_3_4_11_51_43,11,1,1,1,36,6,4.42
2019_3_4_11_51_44,11,12,3,2,35,5,6.68
2019_3_4_11_51_46,11,11,6,1,36,3,3.88
2019_3_4_11_51_46,11,4,5,2,35,6,4.63
2019_3_4_11_51_47,11,2,4,2,36,5,1.65
2019_3_4_11_51_55,11,8,1,2,36,6,5.44
2019_3_4_11_51_57,11,6,6,2,36,1,5.57
2019_3_4_11_52_0,11,9,5,1,36,4,1.06
2019_3_4_11_52_1,11,5,3,1,36,1,2.54
2019_3_4_11_52_7,11,3,2,1,36,2,11.36
2019_3_4_11_52_14,11,4,5,2,36,4,5.54
2019_3_4_11_52_25,11,10,2,2,36,4,7.35
2019_3_4_11_52_29,11,12,3,2,36,1,17.52
2019_3_4_11_53_13,11,9,5,1,37,4,4.01
2019_3_4_11_53_15,11,1,1,1,37,6,3.22
2019_3_4_11_53_15,11,11,6,1,37,6,3.57
2019_3_4_11_53_18,11,3,2,1,37,4,6.65
2019_3_4_11_53_20,11,7,4,1,37,5,5.61
2019_3_4_11_53_22,11,2,5,2,37,4,1.51
2019_3_4_11_53_24,11,5,3,1,37,6,2.81
2019_3_4_11_53_28,11,6,1,2,37,5,3.91
2019_3_4_11_53_29,11,8,2,2,37,6,2.02
2019_3_4_11_53_31,11,12,4,2,37,5,3.02
2019_3_4_11_53_36,11,10,3,2,37,6,2.93
2019_3_4_11_53_38,11,9,5,1,38,3,4.67
2019_3_4_11_53_44,11,4,6,2,37,6,23.43
2019_3_4_11_53_46,11,2,5,2,38,5,1.35
2019_3_4_11_53_47,11,1,1,1,38,4,3.1
2019_3_4_11_53_47,11,3,2,1,38,4,3.61
2019_3_4_11_53_50,11,7,4,1,38,6,2.94
2019_3_4_11_53_50,11,5,3,1,38,6,2.14
2019_3_4_11_53_54,11,8,2,2,38,4,1.94
2019_3_4_11_53_59,11,6,1,2,38,2,3.93
2019_3_4_11_54_4,11,10,3,2,38,6,6.97
2019_3_4_11_54_5,11,9,5,1,39,1,2.86
2019_3_4_11_54_5,11,12,4,2,38,6,6.63
2019_3_4_11_54_6,11,11,6,1,38,6,2.51
2019_3_4_11_54_11,11,3,2,1,39,6,1.54
2019_3_4_11_54_11,11,2,5,2,39,6,1.53
2019_3_4_11_54_19,11,1,1,1,39,5,4.48
2019_3_4_11_54_19,11,8,2,2,39,6,1.61
2019_3_4_11_54_21,11,7,4,1,39,5,1.81
2019_3_4_11_54_23,11,5,3,1,39,6,3.83
2019_3_4_11_54_31,11,12,4,2,39,5,1.4
